fecha,disp_real_hidraulica,disp_real,disp_real_termica,disponibilidad_real
2013-01-04,426026.525,157000.0,143424.6651234568,259326.45833333334
2013-01-05,432832.08125,157000.0,143231.97115384616,264472.3515625
2013-01-06,432601.13636363635,157000.0,139830.57530864197,260029.5563388992
2013-01-07,428569.3181818182,157000.0,139736.18342151676,258331.90440851665
2013-01-08,432174.5833333333,157000.0,139797.83950617284,259837.41496598642
2013-01-09,419528.5041666667,157000.0,139666.59312936125,254603.43056787935
2013-01-10,412811.6979166667,157000.0,139965.27777777778,252026.45833333334
2013-01-11,414171.5081439394,157000.0,127542.35737179486,248198.571969697
2013-01-12,408873.7240530303,157000.0,140135.26570048308,250512.78887701328
2013-01-13,407211.2479166667,157000.0,133012.02168367346,243651.2313095238
2013-01-14,412178.4375,157000.0,140309.52380952382,249724.7083333333
2013-01-15,409678.61079545453,157000.0,140380.95238095237,248764.77765151515
2013-01-16,410048.72159090906,157000.0,140337.79761904763,248888.6553030303
