fecha,vertimientos
2013-07-20,848128.03388
2013-07-22,31940.28
2013-07-24,647297.78283
2013-07-25,465952.32
2013-07-27,446036.616
2013-07-28,1732290.48
2013-07-29,1673482.788
2013-07-30,910485.864
2013-07-31,282277.00858
2013-08-01,338191.2
2013-08-02,1354643.64
2013-08-03,2543197.824
2013-08-04,24800.688
2013-08-08,158423.61483
2013-08-09,2662316.28
2013-08-10,3767224.24625
2013-08-11,4062052.08
2013-08-12,4143969.504
2013-08-13,3907223.016
2013-08-14,1887029.448
2013-08-15,1020849.01258
2013-08-16,2176786.62116
2013-08-17,665860.896
2013-08-18,2579271.552
2013-08-19,1172396.16
2013-08-20,1248610.29896
2013-08-21,476121.24727
2013-08-22,439127.04
2013-08-23,401497.824
2013-08-24,2063703.432
2013-08-25,1351637.496
2013-08-26,2444333.43716
2013-08-27,1563194.88
2013-08-28,907103.952
2013-08-29,1951363.224
2013-08-30,1061544.6
2013-08-31,864266.4
2013-09-01,1506292.56
2013-09-02,1893729.32222
2013-09-03,3173741.52258
2013-09-04,2769418.02341
2013-09-05,1236615.08516
2013-09-06,2305487.16116
2013-09-07,4226525.82058
2013-09-08,2507687.748
2013-09-09,310384.368
2013-09-10,186005.16
2013-09-11,2080214.24516
2013-09-12,3471232.14058
2013-09-13,3688726.572
2013-09-14,2759640.192
2013-09-15,2772416.304
2013-09-16,1215233.712
2013-09-17,34157.48516
2013-12-23,3757.68
2013-12-26,2254.608
2014-02-06,19539.936
2014-02-07,291971.736
2014-02-27,761681.736
2014-02-28,5591840.09411
2014-03-01,3192493.67511
2014-05-13,89057.016
2014-05-15,7139.592
2014-05-19,31564.512
2014-05-20,7515.36
2014-05-30,3006.144
2014-05-31,583567.704
2014-06-01,34946.424
2014-06-04,198405.504
2014-06-05,943177.68
2014-06-06,135276.48
2014-06-07,455430.816
2014-06-08,645945.192
2014-06-09,354724.992
2014-06-10,1087472.592
2014-06-11,899212.824
2014-06-12,424993.608
2014-06-13,21418.776
2014-06-15,477.504
2014-06-16,159.168
2014-06-26,87553.944
2014-06-27,657594.0
2014-06-28,112730.4
2014-07-08,12329246.74721
2014-07-09,39644581.85888
2014-07-10,35007160.25555
2014-07-11,25528217.6
2014-07-12,34277889.65
2014-07-13,44664719.52443
2014-07-14,66913630.89999
2014-07-15,40505576.38611
2014-07-16,26866112.74
2014-07-17,4034613.56944
2014-07-18,33248358.4
2014-07-19,8362188.8
