fecha,gen_hidraulica,gen_no_termica,gen_termica,generacion
2011-01-30,108543577.67,2985911.64,29927014.900000002,141456504.21
2011-01-31,130531942.34,2474737.56,33216646.59,166223326.49
2011-02-01,128451813.8,4648339.49,34941813.98,168041967.27
2011-02-02,129596787.15,4305814.8,35645533.14,169548135.09
2011-02-03,130784646.83,4753609.470000001,37008327.56,172546583.86
2011-02-04,130681392.75,4960803.23,36319262.98,171961458.96
2011-02-05,121793778.5,2097642.86,39060658.33,162952079.69
2011-02-06,102969873.6,2111225.69,39028848.25,144109947.54
2011-02-07,128764354.3,2147872.1,34903756.99,165815983.39000002
2011-02-08,127355680.7,2013225.61,38288613.769999996,167657520.08
2011-02-09,122809858.44,1789353.28,43355827.28,167955039.0
2011-02-10,124005475.71,2345470.1,41731268.13,168082213.94
2011-02-11,129921767.05,2717960.85,36201813.5,168841541.4
2011-02-12,136875686.34,2774405.82,17824173.43,157474265.59
2011-02-13,114096538.33,2761334.25,23344057.71,140201930.29
2011-02-14,122510519.87,4684136.63,31920923.67,159115580.17
2011-02-15,132815149.3,2845074.39,27470453.95,163130677.64
2011-02-16,126720846.01,3397629.55,32186797.540000003,162305273.1
2011-02-17,127303975.98,3555333.83,28205103.16,159064412.97
2011-02-18,128871462.62,3056768.92,27327573.150000002,159255804.69
2011-02-19,124728293.12,3043111.99,24256406.37,152027811.48
2011-02-20,110364774.89,2972101.81,20786700.86,134123577.56
2011-02-21,128992549.0,3495012.74,28223109.23,160710670.97
2011-02-22,132158681.41,3362263.37,30629869.82,166150814.6
2011-02-23,131738744.67,2303924.28,31074548.03,165117216.98
2011-02-24,129030731.04,2343037.38,31449722.53,162823490.95
2011-02-25,133821306.53,2916073.46,25540967.299999997,162278347.29
2011-02-26,129753632.65,3517703.78,21161781.94,154433118.37
2011-02-27,113056108.63,3342444.88,18644244.54,135042798.05
2011-02-28,132559497.08,3003964.24,23934590.369999997,159498051.69
2011-03-01,131769015.86,3021488.48,27370208.87,162160713.21
2011-03-02,143151324.92000002,2989353.33,19191762.53,165332440.78
2011-03-03,142059577.64000002,2963392.0,19133697.31,164156666.95
2011-03-04,143599939.53,3100944.44,18846704.29,165547588.26
2011-03-05,134997195.87,3175488.36,19716224.72,157888908.95
2011-03-06,125487617.02,3046209.75,14204060.46,142737887.23
2011-03-07,142246270.24,3229045.5100000002,19260209.700000003,164735525.45
